animate?, num_of_agents, neighbourhood, num_of_iterations, name, time, system, machine, details
ANIMATE,10,10,10000,12.640040899999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.4986419,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,120.79039139999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,1000,0.49228569999999994,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,1000,11.098131,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,9.9355381,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,8.795164499999998,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,9.7553137,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,11.5741402,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,50,30,100,0.9325227,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,50,30,100,77.3380473,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,30,30,100,69.5902055,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,30,30,100,71.1440778,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,30,30,100,61.5036882,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,30,50,50,34.7792858,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,30,50,1,4.7403544,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,30,50,50,33.3593373,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,10,10,33.6460135,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10,0.009723200000000043,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,30,0.034553100000000114,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,1000,0.13511070000000003,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

ANIMATE,10,10,1000,241.443258,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,100,29.6456955,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,50,50,20,10.1182217,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

ANIMATE,10,10,1000,1911.7894437000002,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

ANIMATE,10,10,1000,264.2736967,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,10000,77.4228069,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,10000,33.0816503,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,10000,117.37512439999999,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,1000,62.6578878,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,1000,8.200546500000002,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,1000,13.5391596,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln

a,10,10,1000,57.689657000000004,WIN1064-1034581,Windows10,AMD64,Intel64 Family 6 Model 158 Stepping 10 GenuineInteln
